school_id,display_name,mascot_name,color1,color1_name,color2,color2_name,color3,color3_name,mascot_file_name
117,Pope John XXIII,Lions,#000080,Navy,#FFFFFF,White,#000000,Black,Lion_3.svg
174,Princeton,Little Tigers,#034CB2,Royal Blue,#FFFFFF,White,#000000,Black,Tiger.svg
155,Rahway,Indians,#222222,Black,#CC0022,Scarlet Red,#FFFFFF,White,Indian 2.svg
17,Ramapo,Raiders,#00824B,Kelly Green,#FFFFFF,White,#000000,Black,Panther_3.svg
18,Ramsey,Rams,#034CB2,Royal Blue,#C8880A,Gold,#FFFFFF,White,Ram_3.svg
392,Ramsey/Northern Highlands,Highlander Rams,#034CB2,Royal Blue,#CC0022,Scarlet Red,#FFFFFF,White,highlander ram.svg
263,Rancocas Valley,Red Devils,#DD1931,Red,#FFFFFF,White,#000000,Black,Devil 3.svg
87,Randolph,Rams,#022D58,Navy,#FFFFFF,White,#000000,Black,Ram.svg
206,Ranney,Panthers,#034CB2,Royal Blue,#FFFFFF,White,#000000,Black,Panther_3.svg
184,Raritan,Rockets,#00824B,Kelly Green,#454444,Gray,#FFFFFF,White,Rocket.svg
264,Red Bank Catholic,Caseys,#228B22,Green,#C8880A,Gold,#FFFFFF,White,Casey.svg
195,Red Bank Regional,Bucs,#034CB2,Royal Blue,#C8880A,Gold,#FFFFFF,White,Pirate 2.svg
156,Ridge,Red Devils,#00824B,Kelly Green,#FFFFFF,White,#000000,Black,Devil.svg
357,Ridgefield Memorial,Royals,#034CB2,Royal Blue,#FFFFFF,White,#000000,Black,Royal.svg
393,Ridgefield Park/Bogota,Scarlets,#CC0000,Red,#000000,Black,#FFFFFF,White,Cardinal 1.svg
19,Ridgewood,Maroons,#76232F,Maroon,#FFFFFF,White,#000000,Black,Maroon.svg
8,River Dell,Golden Hawks,#222222,Black,#C8880A,Gold,#FFFFFF,White,Hawk 1.svg
214,Riverside,Rams,#8F0018,Maroon,#FFFFFF,White,#000000,Black,Ram_2.svg
215,Robbinsville,Ravens,#A7192E,Crimson,#030303,Black,#FFFFFF,White,Raven 1.svg
358,Roselle,Rams,#CC0022,Scarlet Red,#FFFFFF,White,#000000,Black,Ram.svg
125,Roselle Park,Panthers,#CC0022,Scarlet Red,#FFFFFF,White,#000000,Black,Panther_2.svg
66,Roxbury,Gaels,#00205C,Navy,#D7B882,Gold,#FFFFFF,White,Viking.svg
175,Rumson-Fair Haven,Bulldogs,#5C3068,Purple,#FFFFFF,White,#000000,Black,Bulldog 1.svg
196,Rutgers Prep,Argonauts,#8F0018,Maroon,#FFFFFF,White,#000000,Black,Argonaut.svg
96,Rutherford,Bulldogs,#004679,Navy,#FFFFFF,White,#000000,Black,Bulldog.svg
59,Saddle Brook,Falcons,#006400,Dark Green,#FFFFFF,White,#000000,Black,Falcon.svg
20,Saddle River Day,Rebels,#034CB2,Royal Blue,#C8880A,Gold,#FFFFFF,White,Cavalier.svg
243,Saint John Vianney,Lancers,#222222,Black,#C8880A,Gold,#FFFFFF,White,Lancer.svg
300,Saint Joseph's Academy,Wildcats,#034CB2,Royal Blue,#FFFFFF,White,#000000,Black,Wildcat.svg
234,Saint Thomas Aquinas,Trojans,#CC0022,Scarlet Red,#FFFFFF,White,#000000,Black,Spartan 5.svg
312,Salem,Rams,#034CB2,Royal Blue,#FFFFFF,White,#000000,Black,Ram_3.svg
185,Sayreville War Memorial,Bombers,#034CB2,Royal Blue,#454444,Gray,#FFFFFF,White,Bomber 2.svg
286,Schalick,Cougars,#195821,Green,#FEC000,Gold,#FFFFFF,White,Cougar 1.svg
126,Scotch Plains-Fanwood,Raiders,#034CB2,Royal Blue,#FFFFFF,White,#000000,Black,Knight.svg
97,Secaucus,Patriots,#CC0022,Scarlet Red,#FFFFFF,White,#000000,Black,Patriot_2.svg
274,Seneca,Golden Eagles,#00341E,Dark Green,#C8880A,Gold,#FFFFFF,White,Eagle 1.svg
127,Seton Hall Prep,Pirates,#4169E1,Royal Blue,#FFFFFF,White,#000000,Black,Pirate 2.svg
275,Shawnee,Renegades,#034CB2,Royal Blue,#FFFFFF,White,#000000,Black,Indian_2.svg
225,Shore,Blue Devils,#1B5997,Blue,#FFFFFF,White,#000000,Black,Devil 5.svg
145,Somerville,Pioneers,#000000,Black,#FFA500,Orange,#FFFFFF,White,Mountaineer_2.svg
164,South Brunswick,Vikings,#222222,Black,#C8880A,Gold,#FFFFFF,White,Viking 4.svg
136,South Hunterdon,Eagles,#07073D,Navy,#6F777B,Gray,#FFFFFF,White,Eagle.svg
157,South Plainfield,Tigers,#00824B,Kelly Green,#FFFFFF,White,#000000,Black,Tiger.svg
165,South River,Rams,#5C0006,Maroon,#FFFFFF,White,#000000,Black,Ram.svg
252,Southern Regional,Rams,#000000,Black,#C8880A,Gold,#FFFFFF,White,Ram.svg
26,Sparta,Spartans,#0F3063,Navy,#7AABDE,Light Blue,#FFFFFF,White,Spartan 6.svg
166,Spotswood,Chargers,#0250AB,Blue,#FCE300,Yellow,#FFFFFF,White,Horse 4.svg
394,St Joseph (Montvale) HS,Green Knights,#013220,Dark Green,#CFB53B,Gold,#FFFFFF,White,Knight_3.svg
313,St. Augustine,Hermits,#034CB2,Royal Blue,#FFFFFF,White,#000000,Black,Hermit.svg
118,St. Benedicts Prep School,Gray Bees,#752828,Maroon,#7F8588,Gray,#FFFFFF,White,Hornet 1.svg
186,St. Joseph Metuchen,Falcons,#008000,Green,#FFFFFF,White,#000000,Black,Falcon 2.svg
356,St. Joseph's (Hammonton),Wildcats,#034CB2,Royal Blue,#FFFFFF,White,#000000,Black,Wildcat.svg
88,St. Mary High School (Rutherford),Gaels,#034CB2,Royal Blue,#FFFFFF,White,#000000,Black,Viking 5.svg
