school_id,name,wrestler_count
253,Toms River East,23
254,Toms River North,16
255,Toms River South,19
256,Westampton Tech,28
257,Cinnaminson,32
258,Delran,36
259,Gloucester City JR/SR,32
260,Kingsway,42
261,Moorestown,21
262,Palmyra,12
263,Rancocas Valley,37
264,Red Bank Catholic,21
265,Willingboro,23
266,Cherokee,27
267,Cherry Hill East,24
268,Cherry Hill West,22
269,Gloucester Catholic,5
270,Haddonfield,17
271,Lenape,37
272,Maple Shade,19
273,Pemberton,33
274,Seneca,25
275,Shawnee,24
276,Absegami,22
277,Atlantic City,15
278,Camden Catholic,16
279,Egg Harbor,27
280,Holy Spirit,10
281,Lower Cape May,17
282,Mainland,22
283,Middle Township,24
284,Oakcrest,15
285,Ocean City,27
286,Schalick,26
287,Buena,18
288,Cedar Creek,22
289,Cumberland,23
290,Delsea,34
291,Gateway Reg/ Woodbury,30
292,Millville,21
293,Pennsville,30
294,Vineland,17
295,Woodstown,18
296,Eastern,39
297,Hammonton,26
298,Highland Regional/Triton,22
299,Overbrook,0
300,Saint Joseph's Academy,8
301,Timber Creek,15
302,Washington Township,25
303,Williamstown,32
304,Winslow,25
305,Clayton,25
306,Clearview,22
307,Deptford,22
308,Lindenwold,24
309,Paulsboro,29
310,Penns Grove,14
311,Pitman,18
312,Salem,9
313,St. Augustine,20
314,Demarest,24
315,Kittatinny,14
320,Bogota/Bergenfield/Hasbrouck Heights,0
321,Becton,0
322,Bound Brook,0
323,Bordentown/Florence,0
324,Burlington/Eastern,0
325,Cedar Run/Shawnee,0
326,Gloucester,0
327,Greater Brunswick Charter,0
328,Hasbrouck/Palisades/Hackensack,0
329,Hopewell/Hightstown,0
330,High Point,0
331,Paterson Kennedy,1
332,Jackson Memorial,0
333,Johnson/Wayne/Clifton,0
334,Morris Hills/Chatham,0
335,Middletown/Old Bridge,0
336,Montville Township,0
337,North Brunswick Township,31
339,Northern Highlands Regional,18
342,Ocean/Toms River,0
343,Ocean/Rancocas South,0
344,Pennsville/Eastern,0
345,Point Pleasant/Wall,0
346,Somerville/Bound Brook,0
347,Trenton/Ewing/Hamilton,0
348,Wall Township,0
349,Westfield/Boonton,0
350,Wildwood/Holly/Rio,0
351,Washington Township/Eastern,0
352,West Windsor-Plainsboro,0
353,Arlington/Joanna Perrin,0
354,DeSales Catholic,0
355,Shrewsbury,0
356,St. Joseph's (Hammonton),2
357,Ridgefield Memorial,10
358,Roselle,0
359,Bergen Charter,1
360,Buena Regional/Vineland,10
361,CJ) Palmisano (Whippany Park,0
362,Camden/Camden Eastside,5
363,Cherry Hill East/Cherry Hill West,9
364,Cliffside Park,18
365,Cliffside Park/Ridgefield Memorial,15
366,East Brunswick H.S.,27
367,Forfeit,7
368,Governor Livingston Regional Hs,12
369,Highland,5
370,Jackson Township,24
371,James) Fearon (Hunterdon Central Reg,0
372,Jefferson-Sparta,12
373,Keansburg/Henry Hudson,12
374,Keyport,17
375,Kittatinny Regional Jr/Sr,23
376,Lakeland Reg,28
377,Lenape Valley,16
378,Liam) McSorley (Shawnee,0
379,Lodi/Saddle Brook,8
380,Lodi/Saddle Brook High School,13
381,Mary Help of Christians Academy,1
382,Matawan,18
383,Middlesex,8
384,Monmouth,14
385,Morris Hills-Morris Knolls,11
386,Mt. Olive,11
387,Newark Academy/Morris Catholic,6
388,Northern Burlington,26
389,Overbrook Reg Senior,22
390,Parsippany Hills/Parsippany,11
391,Passaic Tech,35
392,Ramsey/Northern Highlands,10
393,Ridgefield Park/ Bogota,20
394,St Joseph (Montvale) HS,14
395,St Peters Preparatory School,14
396,St. Benedict`s Prep,13
397,Summit,2
398,-,1
399,Team Forfeit,1
400,Parsippany Hills High School,7
401,Montville Township High School,4
402,John F. Kennedy Patterson,1
403,Piscataway High School,2
404,JFK/Woodbridge/Colonia,5
405,Highland Regional High School,2
406,Willingboro High School,2
407,Palisades Park,0
